group,replicate,fastq_1,fastq_2,strandedness
BTS11_EVT_L1,1,NGS_M_Sheridan_40616_run1/BTS11_EVT_L001_ds.42c2cf23b4ea4d608bd2b9b6817bc8d0/BTS11-EVT_S5_L001_R1_001.fastq.gz, ,reverse
BTS11_EVT_L2,1,NGS_M_Sheridan_40616_run1/BTS11_EVT_L002_ds.4afebd4d2b15436e8baf297221210b57/BTS11-EVT_S5_L002_R1_001.fastq.gz, ,reverse
BTS11_EVT_L3,1,NGS_M_Sheridan_40616_run1/BTS11_EVT_L003_ds.47c47674f7b84346beeccb18ed26615a/BTS11-EVT_S5_L003_R1_001.fastq.gz, ,reverse
BTS11_EVT_L4,1,NGS_M_Sheridan_40616_run1/BTS11_EVT_L004_ds.00c649919bb34e81bb21f770ed05b9a7/BTS11-EVT_S5_L004_R1_001.fastq.gz, ,reverse
BTS11_Okae_TOM_L1,1,NGS_M_Sheridan_40616_run1/BTS11_Okae_TOM_L001_ds.106242b7fe8f41239e09592118d8b8ba/BTS11-Okae-TOM_S17_L001_R1_001.fastq.gz, ,reverse
BTS11_Okae_TOM_L2,1,NGS_M_Sheridan_40616_run1/BTS11_Okae_TOM_L002_ds.8300209245fa4815af3c5bf0a860ea75/BTS11-Okae-TOM_S17_L002_R1_001.fastq.gz, ,reverse
BTS11_Okae_TOM_L3,1,NGS_M_Sheridan_40616_run1/BTS11_Okae_TOM_L003_ds.5564a5c3dfc54f8f95f61572180f77d5/BTS11-Okae-TOM_S17_L003_R1_001.fastq.gz, ,reverse
BTS11_Okae_TOM_L4,1,NGS_M_Sheridan_40616_run1/BTS11_Okae_TOM_L004_ds.6e94e5c7c52948daa07e7f2bfb4ad7cc/BTS11-Okae-TOM_S17_L004_R1_001.fastq.gz, ,reverse
BTS11_STB_L1,1,NGS_M_Sheridan_40616_run1/BTS11_STB_L001_ds.ee1647d538a74c73ae7936f59ab8083f/BTS11-STB_S6_L001_R1_001.fastq.gz, ,reverse
BTS11_STB_L2,1,NGS_M_Sheridan_40616_run1/BTS11_STB_L002_ds.84f8f1602ace4e6aaefae125d111af55/BTS11-STB_S6_L002_R1_001.fastq.gz, ,reverse
BTS11_STB_L3,1,NGS_M_Sheridan_40616_run1/BTS11_STB_L003_ds.8a4666bc71944acab258875dfd617d30/BTS11-STB_S6_L003_R1_001.fastq.gz, ,reverse
BTS11_STB_L4,1,NGS_M_Sheridan_40616_run1/BTS11_STB_L004_ds.ce372d6876ca4a37ba922cfd8542f473/BTS11-STB_S6_L004_R1_001.fastq.gz, ,reverse
BTS11_TSC_L1,1,NGS_M_Sheridan_40616_run1/BTS11_TSC_L001_ds.37d32a7796404846976bd0925860c593/BTS11-TSC_S4_L001_R1_001.fastq.gz, ,reverse
BTS11_TSC_L2,1,NGS_M_Sheridan_40616_run1/BTS11_TSC_L002_ds.db3da0859e6b4202b6be5d43e0f8a164/BTS11-TSC_S4_L002_R1_001.fastq.gz, ,reverse
BTS11_TSC_L3,1,NGS_M_Sheridan_40616_run1/BTS11_TSC_L003_ds.f729a14ecf304db5a84d1de7e6b51b49/BTS11-TSC_S4_L003_R1_001.fastq.gz, ,reverse
BTS11_TSC_L4,1,NGS_M_Sheridan_40616_run1/BTS11_TSC_L004_ds.1d60288824ec4bca8d89bf5c5478bb54/BTS11-TSC_S4_L004_R1_001.fastq.gz, ,reverse
BTS5_EVT_L1,1,NGS_M_Sheridan_40616_run1/BTS5_EVT_L001_ds.41c562840c7c447e9bbbd53af936c832/BTS5-EVT_S2_L001_R1_001.fastq.gz, ,reverse
BTS5_EVT_L2,1,NGS_M_Sheridan_40616_run1/BTS5_EVT_L002_ds.d47ca8bf4a3e48eeb1f115ecc1f6bdca/BTS5-EVT_S2_L002_R1_001.fastq.gz, ,reverse
BTS5_EVT_L3,1,NGS_M_Sheridan_40616_run1/BTS5_EVT_L003_ds.5b1db068aa6244949f218965283f9704/BTS5-EVT_S2_L003_R1_001.fastq.gz, ,reverse
BTS5_EVT_L4,1,NGS_M_Sheridan_40616_run1/BTS5_EVT_L004_ds.e7b7e370e2f04fafabb9eb25ec801f9d/BTS5-EVT_S2_L004_R1_001.fastq.gz, ,reverse
BTS5_Okae_TOM_L1,1,NGS_M_Sheridan_40616_run1/BTS5_Okae_TOM_L001_ds.6bd9039096d44e84ac706bf342f0300d/BTS5-Okae-TOM_S16_L001_R1_001.fastq.gz, ,reverse
BTS5_Okae_TOM_L2,1,NGS_M_Sheridan_40616_run1/BTS5_Okae_TOM_L002_ds.3b3cb0832374448c8f8561bdfc89e4b3/BTS5-Okae-TOM_S16_L002_R1_001.fastq.gz, ,reverse
BTS5_Okae_TOM_L3,1,NGS_M_Sheridan_40616_run1/BTS5_Okae_TOM_L003_ds.cb4188101a4a4ddfbad21b0e3be5d9d4/BTS5-Okae-TOM_S16_L003_R1_001.fastq.gz, ,reverse
BTS5_Okae_TOM_L4,1,NGS_M_Sheridan_40616_run1/BTS5_Okae_TOM_L004_ds.3581aae428de405ca03ac0c1b7a7a6c3/BTS5-Okae-TOM_S16_L004_R1_001.fastq.gz, ,reverse
BTS5_STB_L1,1,NGS_M_Sheridan_40616_run1/BTS5_STB_L001_ds.8a57db744663482b8ac6f4c749333219/BTS5-STB_S3_L001_R1_001.fastq.gz, ,reverse
BTS5_STB_L2,1,NGS_M_Sheridan_40616_run1/BTS5_STB_L002_ds.cdc7e6d95a904f4d9857b97bd0d78210/BTS5-STB_S3_L002_R1_001.fastq.gz, ,reverse
BTS5_STB_L3,1,NGS_M_Sheridan_40616_run1/BTS5_STB_L003_ds.04321238de0449cb9285abe898cfc96d/BTS5-STB_S3_L003_R1_001.fastq.gz, ,reverse
BTS5_STB_L4,1,NGS_M_Sheridan_40616_run1/BTS5_STB_L004_ds.1443835c4f2c4c2e9e42a38a908a76e4/BTS5-STB_S3_L004_R1_001.fastq.gz, ,reverse
BTS5_TSC_L1,1,NGS_M_Sheridan_40616_run1/BTS5_TSC_L001_ds.4c693185816f473599ef25a846858d5d/BTS5-TSC_S1_L001_R1_001.fastq.gz, ,reverse
BTS5_TSC_L2,1,NGS_M_Sheridan_40616_run1/BTS5_TSC_L002_ds.a524308b77804dd0a411972c2f5bd3b1/BTS5-TSC_S1_L002_R1_001.fastq.gz, ,reverse
BTS5_TSC_L3,1,NGS_M_Sheridan_40616_run1/BTS5_TSC_L003_ds.db473d70013d4fdf8b61cdcf1cb84f64/BTS5-TSC_S1_L003_R1_001.fastq.gz, ,reverse
BTS5_TSC_L4,1,NGS_M_Sheridan_40616_run1/BTS5_TSC_L004_ds.62b4e662ce0141a8aa8f285adb031426/BTS5-TSC_S1_L004_R1_001.fastq.gz, ,reverse
CT27_EVT_L1,1,NGS_M_Sheridan_40616_run1/CT27_EVT_L001_ds.e02a009b0ca6486fa3fbc268ebcde565/CT27-EVT_S8_L001_R1_001.fastq.gz, ,reverse
CT27_EVT_L2,1,NGS_M_Sheridan_40616_run1/CT27_EVT_L002_ds.4985822a01d449f49e57dc5e327fdb83/CT27-EVT_S8_L002_R1_001.fastq.gz, ,reverse
CT27_EVT_L3,1,NGS_M_Sheridan_40616_run1/CT27_EVT_L003_ds.a4edb3a174e74eb890302806b9296ece/CT27-EVT_S8_L003_R1_001.fastq.gz, ,reverse
CT27_EVT_L4,1,NGS_M_Sheridan_40616_run1/CT27_EVT_L004_ds.e2a202b2e2684941b74dc825fec9ee43/CT27-EVT_S8_L004_R1_001.fastq.gz, ,reverse
CT27_Okae_TOM_L1,1,NGS_M_Sheridan_40616_run1/CT27_Okae_TOM_L001_ds.6f38863b28bb4da1b1046d63852e1ce1/CT27-Okae-TOM_S18_L001_R1_001.fastq.gz, ,reverse
CT27_Okae_TOM_L2,1,NGS_M_Sheridan_40616_run1/CT27_Okae_TOM_L002_ds.2b0111fcda4549a68dd18e5f3c30ef1f/CT27-Okae-TOM_S18_L002_R1_001.fastq.gz, ,reverse
CT27_Okae_TOM_L3,1,NGS_M_Sheridan_40616_run1/CT27_Okae_TOM_L003_ds.ed4d78af126942aeaf1a9927bdaa7183/CT27-Okae-TOM_S18_L003_R1_001.fastq.gz, ,reverse
CT27_Okae_TOM_L4,1,NGS_M_Sheridan_40616_run1/CT27_Okae_TOM_L004_ds.64b284306608450e93c299b92b640691/CT27-Okae-TOM_S18_L004_R1_001.fastq.gz, ,reverse
CT27_STB_L1,1,NGS_M_Sheridan_40616_run1/CT27_STB_L001_ds.af02e5ff9c7745ec8d348e1e36053739/CT27-STB_S9_L001_R1_001.fastq.gz, ,reverse
CT27_STB_L2,1,NGS_M_Sheridan_40616_run1/CT27_STB_L002_ds.165986abf0604bf69b78fa3df5e5a18e/CT27-STB_S9_L002_R1_001.fastq.gz, ,reverse
CT27_STB_L3,1,NGS_M_Sheridan_40616_run1/CT27_STB_L003_ds.c4b07c913edb47afae0930362aaf8dba/CT27-STB_S9_L003_R1_001.fastq.gz, ,reverse
CT27_STB_L4,1,NGS_M_Sheridan_40616_run1/CT27_STB_L004_ds.bc96993fbc95400e8d31568c82fb1245/CT27-STB_S9_L004_R1_001.fastq.gz, ,reverse
CT27_TSC_L1,1,NGS_M_Sheridan_40616_run1/CT27_TSC_L001_ds.b44135192f5f478f8953c958469f8e1d/CT27-TSC_S7_L001_R1_001.fastq.gz, ,reverse
CT27_TSC_L2,1,NGS_M_Sheridan_40616_run1/CT27_TSC_L002_ds.8baf2158c9dc40ca9bd4a38f784f8c16/CT27-TSC_S7_L002_R1_001.fastq.gz, ,reverse
CT27_TSC_L3,1,NGS_M_Sheridan_40616_run1/CT27_TSC_L003_ds.95cef11b77f248e1b209840455f66eed/CT27-TSC_S7_L003_R1_001.fastq.gz, ,reverse
CT27_TSC_L4,1,NGS_M_Sheridan_40616_run1/CT27_TSC_L004_ds.f79715fe996b471d9ab970fc78830c93/CT27-TSC_S7_L004_R1_001.fastq.gz, ,reverse
CT29_EVT_L1,1,NGS_M_Sheridan_40616_run1/CT29_EVT_L001_ds.38f8a4ca219d4f8c8b2e9a6d622ca6e2/CT29-EVT_S11_L001_R1_001.fastq.gz, ,reverse
CT29_EVT_L2,1,NGS_M_Sheridan_40616_run1/CT29_EVT_L002_ds.663a3ad739174d3e85eb194aa1dd410f/CT29-EVT_S11_L002_R1_001.fastq.gz, ,reverse
CT29_EVT_L3,1,NGS_M_Sheridan_40616_run1/CT29_EVT_L003_ds.33ad57003c8f44ad955d2d97a1c1d4ce/CT29-EVT_S11_L003_R1_001.fastq.gz, ,reverse
CT29_EVT_L4,1,NGS_M_Sheridan_40616_run1/CT29_EVT_L004_ds.d9cabb6f5ab24e18b17141e56ed6c042/CT29-EVT_S11_L004_R1_001.fastq.gz, ,reverse
CT29_Okae_TOM_L1,1,NGS_M_Sheridan_40616_run1/CT29_Okae_TOM_L001_ds.6b5ae3f37d5e4c05bf40ee583d07a91f/CT29-Okae-TOM_S19_L001_R1_001.fastq.gz, ,reverse
CT29_Okae_TOM_L2,1,NGS_M_Sheridan_40616_run1/CT29_Okae_TOM_L002_ds.522f4e1ebb544f329b8a98bd9d3853e0/CT29-Okae-TOM_S19_L002_R1_001.fastq.gz, ,reverse
CT29_Okae_TOM_L3,1,NGS_M_Sheridan_40616_run1/CT29_Okae_TOM_L003_ds.2a603d44792545659be07530c4e68afa/CT29-Okae-TOM_S19_L003_R1_001.fastq.gz, ,reverse
CT29_Okae_TOM_L4,1,NGS_M_Sheridan_40616_run1/CT29_Okae_TOM_L004_ds.5ccec1ce63f3486d851d3892dcd7789c/CT29-Okae-TOM_S19_L004_R1_001.fastq.gz, ,reverse
CT29_STB_L1,1,NGS_M_Sheridan_40616_run1/CT29_STB_L001_ds.a14fddc02001486d9fb97cfc62536e66/CT29-STB_S12_L001_R1_001.fastq.gz, ,reverse
CT29_STB_L2,1,NGS_M_Sheridan_40616_run1/CT29_STB_L002_ds.bd5e9dbbf39c4b18b225b940f96ef289/CT29-STB_S12_L002_R1_001.fastq.gz, ,reverse
CT29_STB_L3,1,NGS_M_Sheridan_40616_run1/CT29_STB_L003_ds.eb598ee754604961a4a06bd29f7f2200/CT29-STB_S12_L003_R1_001.fastq.gz, ,reverse
CT29_STB_L4,1,NGS_M_Sheridan_40616_run1/CT29_STB_L004_ds.a0ac256ec610427fa94aea619c852032/CT29-STB_S12_L004_R1_001.fastq.gz, ,reverse
CT29_TSC_L1,1,NGS_M_Sheridan_40616_run1/CT29_TSC_L001_ds.fc53293a9340454d979c34a77f5243ae/CT29-TSC_S10_L001_R1_001.fastq.gz, ,reverse
CT29_TSC_L2,1,NGS_M_Sheridan_40616_run1/CT29_TSC_L002_ds.59da5bc234124e9c8e1f9318ae397d98/CT29-TSC_S10_L002_R1_001.fastq.gz, ,reverse
CT29_TSC_L3,1,NGS_M_Sheridan_40616_run1/CT29_TSC_L003_ds.bafcb04f59a24821bb72e8f6211aea68/CT29-TSC_S10_L003_R1_001.fastq.gz, ,reverse
CT29_TSC_L4,1,NGS_M_Sheridan_40616_run1/CT29_TSC_L004_ds.4d35d5cca9674fae90345b96142ed448/CT29-TSC_S10_L004_R1_001.fastq.gz, ,reverse
CT30_EVT_L1,1,NGS_M_Sheridan_40616_run1/CT30_EVT_L001_ds.a87da642901141409eb982d0f425545c/CT30-EVT_S14_L001_R1_001.fastq.gz, ,reverse
CT30_EVT_L2,1,NGS_M_Sheridan_40616_run1/CT30_EVT_L002_ds.e1d754cef98d4fc88f8a044328e8aa7a/CT30-EVT_S14_L002_R1_001.fastq.gz, ,reverse
CT30_EVT_L3,1,NGS_M_Sheridan_40616_run1/CT30_EVT_L003_ds.d89790b5ffe34183ad70b31db532997c/CT30-EVT_S14_L003_R1_001.fastq.gz, ,reverse
CT30_EVT_L4,1,NGS_M_Sheridan_40616_run1/CT30_EVT_L004_ds.8a23e49a6a8f4c2d92b71a5d25df633a/CT30-EVT_S14_L004_R1_001.fastq.gz, ,reverse
CT30_Okae_TOM_L1,1,NGS_M_Sheridan_40616_run1/CT30_Okae_TOM_L001_ds.d865ac06b3a74371a3ec95908ff2954d/CT30-Okae-TOM_S20_L001_R1_001.fastq.gz, ,reverse
CT30_Okae_TOM_L2,1,NGS_M_Sheridan_40616_run1/CT30_Okae_TOM_L002_ds.dadd4b537be144b29b3d4a735036df0b/CT30-Okae-TOM_S20_L002_R1_001.fastq.gz, ,reverse
CT30_Okae_TOM_L3,1,NGS_M_Sheridan_40616_run1/CT30_Okae_TOM_L003_ds.3f2aa6270a5741a98a1b7fe5a437fc13/CT30-Okae-TOM_S20_L003_R1_001.fastq.gz, ,reverse
CT30_Okae_TOM_L4,1,NGS_M_Sheridan_40616_run1/CT30_Okae_TOM_L004_ds.43fb6f47a43a405a8af26971443d15a3/CT30-Okae-TOM_S20_L004_R1_001.fastq.gz, ,reverse
CT30_STB_L1,1,NGS_M_Sheridan_40616_run1/CT30_STB_L001_ds.b41517f3a6a64bd88da41c6fc90babc7/CT30-STB_S15_L001_R1_001.fastq.gz, ,reverse
CT30_STB_L2,1,NGS_M_Sheridan_40616_run1/CT30_STB_L002_ds.a3b552fcbbbc4d93a96931855ba76dc2/CT30-STB_S15_L002_R1_001.fastq.gz, ,reverse
CT30_STB_L3,1,NGS_M_Sheridan_40616_run1/CT30_STB_L003_ds.e51254ee68fb4cf7b879ffbd25bb0f72/CT30-STB_S15_L003_R1_001.fastq.gz, ,reverse
CT30_STB_L4,1,NGS_M_Sheridan_40616_run1/CT30_STB_L004_ds.86642a4d44084bbcb8ca38f48629cbf0/CT30-STB_S15_L004_R1_001.fastq.gz, ,reverse
CT30_TSC_L1,1,NGS_M_Sheridan_40616_run1/CT30_TSC_L001_ds.0f1721d86b7844e28bce6831a1ea0d48/CT30-TSC_S13_L001_R1_001.fastq.gz, ,reverse
CT30_TSC_L2,1,NGS_M_Sheridan_40616_run1/CT30_TSC_L002_ds.e5d5718340114bcda07510d8234e67ae/CT30-TSC_S13_L002_R1_001.fastq.gz, ,reverse
CT30_TSC_L3,1,NGS_M_Sheridan_40616_run1/CT30_TSC_L003_ds.81b28821870e46e690a508cfed38c8f2/CT30-TSC_S13_L003_R1_001.fastq.gz, ,reverse
CT30_TSC_L4,1,NGS_M_Sheridan_40616_run1/CT30_TSC_L004_ds.c4fa5997a79c46d0aface6138e279b63/CT30-TSC_S13_L004_R1_001.fastq.gz, ,reverse
R053_org_EVT_L1,1,NGS_M_Sheridan_40616_run1/R053_org_EVT_L001_ds.24665c0fee89465d803285b6597eca84/R053-org-EVT_S28_L001_R1_001.fastq.gz, ,reverse
R053_org_EVT_L2,1,NGS_M_Sheridan_40616_run1/R053_org_EVT_L002_ds.8c82fb75753145d3af5498b6f0934efa/R053-org-EVT_S28_L002_R1_001.fastq.gz, ,reverse
R053_org_EVT_L3,1,NGS_M_Sheridan_40616_run1/R053_org_EVT_L003_ds.92ecdeed55874640893a377b8913d45d/R053-org-EVT_S28_L003_R1_001.fastq.gz, ,reverse
R053_org_EVT_L4,1,NGS_M_Sheridan_40616_run1/R053_org_EVT_L004_ds.22ad9d1ac3254ed8a579e25aa1c31164/R053-org-EVT_S28_L004_R1_001.fastq.gz, ,reverse
R053_org_TOM_L1,1,NGS_M_Sheridan_40616_run1/R053_org_TOM_L001_ds.8b9b1857c1604a7cb7826a9ef3495dba/R053-org-TOM_S27_L001_R1_001.fastq.gz, ,reverse
R053_org_TOM_L2,1,NGS_M_Sheridan_40616_run1/R053_org_TOM_L002_ds.bf4bd52ee90c42e8af35a186168cd240/R053-org-TOM_S27_L002_R1_001.fastq.gz, ,reverse
R053_org_TOM_L3,1,NGS_M_Sheridan_40616_run1/R053_org_TOM_L003_ds.abeb9e661ca54dbfacf85e1cd14d5c81/R053-org-TOM_S27_L003_R1_001.fastq.gz, ,reverse
R053_org_TOM_L4,1,NGS_M_Sheridan_40616_run1/R053_org_TOM_L004_ds.31337581725549b3bf426c2b7cd4f3d3/R053-org-TOM_S27_L004_R1_001.fastq.gz, ,reverse
W002_2D_fluffy_L1,1,NGS_M_Sheridan_40616_run1/W002_2D_fluffy_L001_ds.dc2577cac4aa4e1484449043270974ae/W002-2D-fluffy_S34_L001_R1_001.fastq.gz, ,reverse
W002_2D_fluffy_L2,1,NGS_M_Sheridan_40616_run1/W002_2D_fluffy_L002_ds.58e7e285c5fb4f0e9e7b16bc8596ae75/W002-2D-fluffy_S34_L002_R1_001.fastq.gz, ,reverse
W002_2D_fluffy_L3,1,NGS_M_Sheridan_40616_run1/W002_2D_fluffy_L003_ds.032c6f89fe8e4667b0b94638af5c5719/W002-2D-fluffy_S34_L003_R1_001.fastq.gz, ,reverse
W002_2D_fluffy_L4,1,NGS_M_Sheridan_40616_run1/W002_2D_fluffy_L004_ds.f4f6a00d6fdb4beba0b62818f690b913/W002-2D-fluffy_S34_L004_R1_001.fastq.gz, ,reverse
